date,pitcher_name,line,side,price,sportsbook,event_id,snapshot_time_et,source
2026-08-26,Adrian Houser,3.5,under,150,dabble,164051,2026-08-26T00:36:58.405294+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-109,dabble,164051,2026-08-25T05:58:33.399246+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-138,novig,164051,2026-08-26T01:43:56.949191+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,133,novig,164051,2026-08-26T01:43:56.949191+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,113,novig,164051,2026-08-26T01:44:30.218603+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-122,novig,164051,2026-08-26T01:44:30.218603+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-175,smarkets,164051,2026-08-26T00:41:10.262668+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,124,smarkets,164051,2026-08-26T00:41:10.262668+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,-105,smarkets,164051,2026-08-26T01:37:28.332244+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-132,smarkets,164051,2026-08-26T00:41:10.262668+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.5,over,129,draftkings,164051,2026-08-25T23:45:29.340595+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.5,under,-165,draftkings,164051,2026-08-25T23:45:29.340595+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-180,onexbet,164051,2026-08-26T00:27:01.110172+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,135,onexbet,164051,2026-08-26T00:27:01.110172+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,-101,draftkings,164051,2026-08-25T23:39:02.641781+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-127,draftkings,164051,2026-08-25T23:39:02.641781+00:00,propline_free_sample
2026-08-26,Adrian Houser,1.5,over,-1011,kalshi,164051,2026-08-25T16:38:12.583111+00:00,propline_free_sample
2026-08-26,Adrian Houser,1.5,under,9900,kalshi,164051,2026-08-25T16:40:16.312306+00:00,propline_free_sample
2026-08-26,Adrian Houser,2.5,over,9900,kalshi,164051,2026-08-25T22:43:22.210088+00:00,propline_free_sample
2026-08-26,Adrian Houser,2.5,under,-733,kalshi,164051,2026-08-25T21:41:22.130078+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,9900,kalshi,164051,2026-08-25T23:46:27.731607+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,104,kalshi,164051,2026-08-25T23:46:27.731607+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.5,over,9900,kalshi,164051,2026-08-25T21:22:52.200587+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.5,under,-245,kalshi,164051,2026-08-25T22:16:34.426867+00:00,propline_free_sample
2026-08-26,Adrian Houser,5.5,over,9900,kalshi,164051,2026-08-26T00:46:43.425203+00:00,propline_free_sample
2026-08-26,Adrian Houser,5.5,under,-900,kalshi,164051,2026-08-26T01:41:26.743720+00:00,propline_free_sample
2026-08-26,Adrian Houser,6.5,over,9900,kalshi,164051,2026-08-25T22:45:39.242151+00:00,propline_free_sample
2026-08-26,Brady Alan Singer,4.5,over,-105,onexbet,164051,2026-08-25T20:28:15.043164+00:00,propline_free_sample
2026-08-26,Brady Alan Singer,4.5,under,-130,onexbet,164051,2026-08-25T20:28:15.043164+00:00,propline_free_sample
2026-08-26,Adrian Houser,6.5,under,-9900,kalshi,164051,2026-08-25T22:47:56.183818+00:00,propline_free_sample
2026-08-26,Brady Singer,1.5,over,-4900,kalshi,164051,2026-08-25T22:45:39.242151+00:00,propline_free_sample
2026-08-26,Brady Singer,1.5,under,9900,kalshi,164051,2026-08-25T09:15:42.552702+00:00,propline_free_sample
2026-08-26,Brady Singer,2.5,over,-2400,kalshi,164051,2026-08-25T17:11:04.656210+00:00,propline_free_sample
2026-08-26,Brady Singer,2.5,under,9900,kalshi,164051,2026-08-25T09:15:42.552702+00:00,propline_free_sample
2026-08-26,Brady Singer,3.5,over,-1329,kalshi,164051,2026-08-25T22:25:25.207979+00:00,propline_free_sample
2026-08-26,Brady Singer,3.5,under,9900,kalshi,164051,2026-08-25T22:25:25.207979+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,-300,kalshi,164051,2026-08-26T01:44:30.129994+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,9900,kalshi,164051,2026-08-26T01:44:30.129994+00:00,propline_free_sample
2026-08-26,Brady Singer,5.5,over,9900,kalshi,164051,2026-08-26T00:46:43.425203+00:00,propline_free_sample
2026-08-26,Brady Singer,5.5,under,-1900,kalshi,164051,2026-08-25T23:19:26.672718+00:00,propline_free_sample
2026-08-26,Brady Singer,6.5,over,9900,kalshi,164051,2026-08-25T19:49:01.032265+00:00,propline_free_sample
2026-08-26,Brady Singer,6.5,under,-1900,kalshi,164051,2026-08-25T23:33:08.419296+00:00,propline_free_sample
2026-08-26,Brady Singer,7.5,over,9900,kalshi,164051,2026-08-25T22:43:22.210088+00:00,propline_free_sample
2026-08-26,Brady Singer,7.5,under,-1567,kalshi,164051,2026-08-25T23:29:00.104539+00:00,propline_free_sample
2026-08-26,Brady Singer,8.5,over,9900,kalshi,164051,2026-08-25T09:15:42.552702+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-165,rebet,164051,2026-08-26T00:51:32.804576+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,119,rebet,164051,2026-08-26T00:51:32.804576+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,104,rebet,164051,2026-08-25T23:44:01.015423+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-144,rebet,164051,2026-08-25T23:44:01.015423+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-155,betmgm,164051,2026-08-25T23:08:02.135207+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,115,betmgm,164051,2026-08-25T23:08:02.135207+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,110,betmgm,164051,2026-08-25T14:25:19.178414+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-150,betmgm,164051,2026-08-25T14:25:19.178414+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-136,betrivers,164051,2026-08-25T21:43:53.966144+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,102,betrivers,164051,2026-08-25T21:43:53.966144+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,112,betrivers,164051,2026-08-25T22:23:09.530267+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-150,betrivers,164051,2026-08-25T22:23:09.530267+00:00,propline_free_sample
2026-08-26,Brady Singer,4.0,over,100,prizepicks,164051,2026-08-25T12:53:16.094047+00:00,propline_free_sample
2026-08-26,Brady Singer,4.0,under,100,prizepicks,164051,2026-08-25T12:53:16.094047+00:00,propline_free_sample
2026-08-26,Adrian Houser,2.5,over,-441,novig,164051,2026-08-26T01:42:27.354154+00:00,propline_free_sample
2026-08-26,Adrian Houser,2.5,under,186,novig,164051,2026-08-26T01:14:02.292342+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.5,over,144,novig,164051,2026-08-26T01:19:56.152560+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.5,under,-190,novig,164051,2026-08-25T23:51:51.123792+00:00,propline_free_sample
2026-08-26,Brady Singer,3.5,over,-213,novig,164051,2026-08-26T01:17:24.065266+00:00,propline_free_sample
2026-08-26,Brady Singer,3.5,under,190,novig,164051,2026-08-25T20:43:13.562705+00:00,propline_free_sample
2026-08-26,Brady Singer,5.5,over,223,novig,164051,2026-08-26T01:17:24.065266+00:00,propline_free_sample
2026-08-26,Brady Singer,5.5,under,-317,novig,164051,2026-08-25T22:21:14.374211+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-148,pinnacle,164051,2026-08-25T22:52:28.783582+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,112,pinnacle,164051,2026-08-25T22:52:28.783582+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,109,pinnacle,164051,2026-08-25T13:33:37.130300+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-145,pinnacle,164051,2026-08-25T13:33:37.130300+00:00,propline_free_sample
2026-08-26,Adrian Houser (SF),3.5,over,-145,lowvig,164051,2026-08-25T15:55:07.697762+00:00,propline_free_sample
2026-08-26,Adrian Houser (SF),3.5,under,105,lowvig,164051,2026-08-25T15:55:07.697762+00:00,propline_free_sample
2026-08-26,Brady Singer (CIN),4.5,over,110,lowvig,164051,2026-08-25T15:55:07.697762+00:00,propline_free_sample
2026-08-26,Brady Singer (CIN),4.5,under,-150,lowvig,164051,2026-08-25T15:55:07.697762+00:00,propline_free_sample
2026-08-26,Adrian Houser (SF),3.5,over,-145,betonlineag,164051,2026-08-25T15:55:08.271071+00:00,propline_free_sample
2026-08-26,Adrian Houser (SF),3.5,under,105,betonlineag,164051,2026-08-25T15:55:08.271071+00:00,propline_free_sample
2026-08-26,Brady Singer (CIN),4.5,over,110,betonlineag,164051,2026-08-25T15:55:08.271071+00:00,propline_free_sample
2026-08-26,Brady Singer (CIN),4.5,under,-150,betonlineag,164051,2026-08-25T15:55:08.271071+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,100,prizepicks,164051,2026-08-25T15:58:15.180894+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,100,prizepicks,164051,2026-08-25T15:58:15.180894+00:00,propline_free_sample
2026-08-26,Michael King,5.5,over,108,fanduel,164067,2026-08-26T00:40:47.268373+00:00,propline_free_sample
2026-08-26,Michael King,5.5,under,-138,fanduel,164067,2026-08-26T00:40:47.268373+00:00,propline_free_sample
2026-08-26,Paul Skenes,5.5,over,-156,fanduel,164067,2026-08-25T23:51:26.732731+00:00,propline_free_sample
2026-08-26,Paul Skenes,5.5,under,122,fanduel,164067,2026-08-25T23:51:26.732731+00:00,propline_free_sample
2026-08-26,Michael King,5.5,over,100,prizepicks,164067,2026-08-25T14:54:32.002947+00:00,propline_free_sample
2026-08-26,Michael King,5.5,under,100,prizepicks,164067,2026-08-25T14:54:32.002947+00:00,propline_free_sample
2026-08-26,Michael King,6.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,6.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Michael King,6.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,6.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Michael King,7.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,7.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Michael King,7.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,7.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,8.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,8.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Michael King,3.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Michael King,3.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Michael King,4.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,4.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Michael King,4.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,4.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,5.5,over,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Paul Skenes,5.5,under,100,prizepicks,164067,2026-08-24T23:27:03.157761+00:00,propline_free_sample
2026-08-26,Michael King,5.5,over,-108,sleeper,164067,2026-08-26T00:59:16.767457+00:00,propline_free_sample
2026-08-26,Michael King,5.5,under,-154,sleeper,164067,2026-08-26T01:03:50.538421+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,4.5,over,106,fanduel,164065,2026-08-25T22:45:24.351788+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,4.5,under,-136,fanduel,164065,2026-08-25T22:45:24.351788+00:00,propline_free_sample
2026-08-26,Clay Holmes,3.5,over,124,fanduel,164065,2026-08-25T23:59:55.149799+00:00,propline_free_sample
2026-08-26,Clay Holmes,3.5,under,-158,fanduel,164065,2026-08-25T23:59:55.149799+00:00,propline_free_sample
2026-08-26,Aaron Nola,5.5,over,-125,fanduel,164069,2026-08-25T23:07:34.656808+00:00,propline_free_sample
2026-08-26,Aaron Nola,5.5,under,-102,fanduel,164069,2026-08-25T22:36:16.292810+00:00,propline_free_sample
2026-08-26,George Kirby,4.5,over,-122,fanduel,164069,2026-08-25T21:27:04.547799+00:00,propline_free_sample
2026-08-26,George Kirby,4.5,under,-104,fanduel,164069,2026-08-25T21:27:04.547799+00:00,propline_free_sample
2026-08-26,Clay Holmes,3.5,over,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Clay Holmes,3.5,under,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,4.5,over,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Clay Holmes,4.5,over,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,4.5,under,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Clay Holmes,4.5,under,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,5.5,over,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Clay Holmes,5.5,over,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,5.5,under,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Clay Holmes,5.5,under,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,6.5,over,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,6.5,under,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Clay Holmes,2.5,over,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Clay Holmes,2.5,under,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,3.5,over,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,3.5,under,100,prizepicks,164065,2026-08-25T00:15:13.486874+00:00,propline_free_sample
2026-08-26,George Kirby,5.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,5.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,6.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,6.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,6.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,6.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,7.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,7.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,7.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,7.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,8.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,8.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,3.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,3.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,4.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,4.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,4.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,George Kirby,4.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,5.5,over,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola,5.5,under,100,prizepicks,164069,2026-08-25T00:15:15.348572+00:00,propline_free_sample
2026-08-26,Aaron Nola (PHI),5.5,over,-125,bovada,164069,2026-08-25T23:24:16.780171+00:00,propline_free_sample
2026-08-26,Aaron Nola (PHI),5.5,under,-105,bovada,164069,2026-08-25T23:24:16.780171+00:00,propline_free_sample
2026-08-26,George Kirby (SEA),4.5,over,-125,bovada,164069,2026-08-25T15:50:25.317172+00:00,propline_free_sample
2026-08-26,George Kirby (SEA),4.5,under,-105,bovada,164069,2026-08-25T15:50:25.317172+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,2.5,over,100,prizepicks,164065,2026-08-25T01:10:59.424705+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,2.5,under,100,prizepicks,164065,2026-08-25T01:10:59.424705+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,7.5,over,100,prizepicks,164065,2026-08-25T01:10:59.424705+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,7.5,under,100,prizepicks,164065,2026-08-25T01:10:59.424705+00:00,propline_free_sample
2026-08-26,Michael King,8.5,over,100,prizepicks,164067,2026-08-25T01:18:29.053481+00:00,propline_free_sample
2026-08-26,Michael King,8.5,under,100,prizepicks,164067,2026-08-25T01:18:29.053481+00:00,propline_free_sample
2026-08-26,Paul Skenes,3.5,over,100,prizepicks,164067,2026-08-25T01:18:29.053481+00:00,propline_free_sample
2026-08-26,Paul Skenes,3.5,under,100,prizepicks,164067,2026-08-25T01:18:29.053481+00:00,propline_free_sample
2026-08-26,Paul Skenes,10.5,over,100,prizepicks,164067,2026-08-25T01:18:29.053481+00:00,propline_free_sample
2026-08-26,Paul Skenes,10.5,under,100,prizepicks,164067,2026-08-25T01:18:29.053481+00:00,propline_free_sample
2026-08-26,Aaron Nola,3.5,over,100,prizepicks,164069,2026-08-25T01:18:29.142499+00:00,propline_free_sample
2026-08-26,Aaron Nola,3.5,under,100,prizepicks,164069,2026-08-25T01:18:29.142499+00:00,propline_free_sample
2026-08-26,Aaron Nola,10.5,over,100,prizepicks,164069,2026-08-25T01:18:29.142499+00:00,propline_free_sample
2026-08-26,Aaron Nola,10.5,under,100,prizepicks,164069,2026-08-25T01:18:29.142499+00:00,propline_free_sample
2026-08-26,George Kirby,9.5,over,100,prizepicks,164069,2026-08-25T01:18:29.142499+00:00,propline_free_sample
2026-08-26,George Kirby,9.5,under,100,prizepicks,164069,2026-08-25T01:18:29.142499+00:00,propline_free_sample
2026-08-26,George Kirby,2.5,over,100,prizepicks,164069,2026-08-25T01:18:29.142499+00:00,propline_free_sample
2026-08-26,George Kirby,2.5,under,100,prizepicks,164069,2026-08-25T01:18:29.142499+00:00,propline_free_sample
2026-08-26,Paul Skenes,9.5,over,100,prizepicks,164067,2026-08-25T01:45:14.109341+00:00,propline_free_sample
2026-08-26,Paul Skenes,9.5,under,100,prizepicks,164067,2026-08-25T01:45:14.109341+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,4.5,over,-102,sleeper,164065,2026-08-26T01:39:04.315764+00:00,propline_free_sample
2026-08-26,Clay Holmes,3.5,over,104,sleeper,164065,2026-08-26T00:04:14.860768+00:00,propline_free_sample
2026-08-26,Brandon Pfaadt,4.5,under,-161,sleeper,164065,2026-08-25T22:31:53.788352+00:00,propline_free_sample
2026-08-26,Clay Holmes,3.5,under,-175,sleeper,164065,2026-08-26T00:04:14.860768+00:00,propline_free_sample
