date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,3.5,over,-154,fanduel,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:02:14.420552+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,3.5,under,122,fanduel,206550,Philadelphia Phillies,Houston Astros,2026-09-10T16:03:49.296839+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,6.5,over,-122,fanduel,206550,Philadelphia Phillies,Houston Astros,2026-09-10T15:14:04.624870+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,6.5,under,-104,fanduel,206550,Philadelphia Phillies,Houston Astros,2026-09-10T15:14:04.624870+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,4.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,5.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,6.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,6.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,6.5,under,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,7.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,8.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,2.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,3.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,3.5,under,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,4.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,5.5,over,100,prizepicks,206550,Philadelphia Phillies,Houston Astros,2026-09-10T01:48:36.364962+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier (HOU),3.5,over,-160,bovada,206550,Philadelphia Phillies,Houston Astros,2026-09-10T14:53:34.744452+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier (HOU),3.5,under,120,bovada,206550,Philadelphia Phillies,Houston Astros,2026-09-10T14:53:34.744452+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler (PHI),6.5,over,-125,bovada,206550,Philadelphia Phillies,Houston Astros,2026-09-10T15:25:23.266796+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler (PHI),6.5,under,-105,bovada,206550,Philadelphia Phillies,Houston Astros,2026-09-10T15:25:23.266796+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,3.5,over,-128,prophetx,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:03:18.321932+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,3.5,under,118,prophetx,206550,Philadelphia Phillies,Houston Astros,2026-09-10T16:57:19.868123+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,6.5,over,-138,prophetx,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:00:56.557589+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,6.5,under,114,prophetx,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:00:56.557589+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,2.5,over,-145,fanatics,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:03:08.841956+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,2.5,under,110,fanatics,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:03:08.841956+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,7.5,over,-130,fanatics,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:03:08.841956+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,7.5,under,100,fanatics,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:03:08.841956+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,3.5,over,-194,novig,206550,Philadelphia Phillies,Houston Astros,2026-09-10T16:59:34.496902+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,3.5,under,117,novig,206550,Philadelphia Phillies,Houston Astros,2026-09-10T16:07:27.842947+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,6.5,over,-122,novig,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:01:32.866540+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Zack Wheeler,6.5,under,-127,novig,206550,Philadelphia Phillies,Houston Astros,2026-09-10T17:02:22.240890+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
2026-09-10,2026-09-10 17:05:00+00:00,Cristian Javier,0.5,over,-5000,hardrock,206550,Philadelphia Phillies,Houston Astros,2026-09-10T14:25:15.107201+00:00,2026-09-10T21:04:16.239169+00:00,2026-09-10T17:04:16.239169-04:00,2026-09-10T17:04:16.239169-04:00,propline_free_sample
