date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,3.5,over,148,underdog,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T17:07:56.655344+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,3.5,under,-223,underdog,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T17:07:56.655344+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,7.5,over,100,prizepicks,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T05:23:01.034825+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,7.5,under,100,prizepicks,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T05:23:01.034825+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,7.5,over,108,dabble,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T23:08:41.271747+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,7.5,under,-108,dabble,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T21:54:57.297215+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,7.5,over,-110,smarkets,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T22:53:36.014551+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,7.5,under,-127,smarkets,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T23:16:21.112412+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,9.5,over,100,prizepicks,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T06:55:11.375577+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
2026-09-19,2026-09-20 01:10:00+00:00,Tarik Skubal,6.5,over,100,prizepicks,217086,Los Angeles Dodgers,San Francisco Giants,2026-09-19T06:55:11.375577+00:00,2026-09-20T05:12:29.441718+00:00,2026-09-20T01:12:29.441718-04:00,2026-09-20T01:12:29.441718-04:00,propline_free_sample
