date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Bryce Miller,over,2.5,-720,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Bryce Miller,over,3.5,-240,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Bryce Miller,over,4.5,110,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Bryce Miller,under,4.5,-140,FanDuel,pitcher_strikeouts,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Bryce Miller,over,5.5,230,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Bryce Miller,over,6.5,480,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Patrick Sandoval,over,2.5,-2200,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Patrick Sandoval,over,3.5,-560,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Patrick Sandoval,over,4.5,-230,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Patrick Sandoval,over,5.5,110,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Patrick Sandoval,under,5.5,-140,FanDuel,pitcher_strikeouts,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Patrick Sandoval,over,6.5,220,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,0b0373954f04c35c2aaee9aed8171c17,Seattle Mariners,Boston Red Sox,Patrick Sandoval,over,7.5,460,FanDuel,pitcher_strikeouts_alternate,2026-09-02T20:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:09Z,the_odds_api_fanduel_fallback
2026-09-02,2d7536dbc5a92a909f419ec55b9c6fb1,Baltimore Orioles,Colorado Rockies,Tomoyuki Sugano,over,2.5,-330,FanDuel,pitcher_strikeouts_alternate,2026-09-02T19:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:32Z,the_odds_api_fanduel_fallback
2026-09-02,2d7536dbc5a92a909f419ec55b9c6fb1,Baltimore Orioles,Colorado Rockies,Tomoyuki Sugano,over,3.5,-115,FanDuel,pitcher_strikeouts_alternate,2026-09-02T19:11:00+00:00,2026-09-02T18:07:06.992017+00:00,2026-09-02T14:07:06.992017-04:00,2026-09-02T18:06:32Z,the_odds_api_fanduel_fallback
