date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-02,2026-09-02 17:05:00+00:00,Brad Lord,2.5,over,162,dabble,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:26:27.086413+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Grant Holmes,3.5,over,-145,dabble,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:49:05.877326+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Brad Lord,2.5,under,-159,dabble,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:49:05.877326+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Grant Holmes,3.5,under,146,dabble,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:49:05.877326+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Brad Lord,2.5,over,139,underdog,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:30:11.359169+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Grant Holmes,3.5,over,-173,underdog,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:47:52.752097+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Brad Lord,2.5,under,-193,underdog,185185,Washington Nationals,Atlanta Braves,2026-09-02T14:48:28.010692+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Grant Holmes,3.5,under,127,underdog,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:47:52.752097+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Brad Lord,2.5,over,134,smarkets,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:22:47.933131+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Brad Lord,2.5,under,-189,smarkets,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:26:49.568518+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Grant Holmes,4.5,over,122,smarkets,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:34:40.642007+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
2026-09-02,2026-09-02 17:05:00+00:00,Grant Holmes,4.5,under,-172,smarkets,185185,Washington Nationals,Atlanta Braves,2026-09-02T16:34:40.642007+00:00,2026-09-02T21:12:03.355436+00:00,2026-09-02T17:12:03.355436-04:00,2026-09-02T17:12:03.355436-04:00,propline_free_sample
