date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Cam Schlittler,over,4.5,-2500,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Cam Schlittler,over,5.5,-720,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Cam Schlittler,over,6.5,-320,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Cam Schlittler,over,7.5,-136,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Cam Schlittler,under,7.5,106,FanDuel,pitcher_strikeouts,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Cam Schlittler,over,8.5,136,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Cam Schlittler,over,9.5,265,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Cam Schlittler,over,10.5,520,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Reid Detmers,over,3.5,-2000,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Reid Detmers,over,4.5,-620,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Reid Detmers,over,5.5,-260,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Reid Detmers,over,6.5,-104,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Reid Detmers,under,6.5,-122,FanDuel,pitcher_strikeouts,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Reid Detmers,over,7.5,180,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Reid Detmers,over,8.5,350,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,6467c41d2b7da8c9e8efcda4c5d5f7b8,New York Yankees,Los Angeles Angels,Reid Detmers,over,9.5,700,FanDuel,pitcher_strikeouts_alternate,2026-09-03T01:39:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:29:21Z,the_odds_api_fanduel_fallback
2026-09-02,8cc27a7b0c6903978e605ba541bed625,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,over,3.5,-3500,FanDuel,pitcher_strikeouts_alternate,2026-09-03T02:11:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:28:55Z,the_odds_api_fanduel_fallback
2026-09-02,8cc27a7b0c6903978e605ba541bed625,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,over,4.5,-800,FanDuel,pitcher_strikeouts_alternate,2026-09-03T02:11:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:28:55Z,the_odds_api_fanduel_fallback
2026-09-02,8cc27a7b0c6903978e605ba541bed625,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,over,5.5,-330,FanDuel,pitcher_strikeouts_alternate,2026-09-03T02:11:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:28:55Z,the_odds_api_fanduel_fallback
2026-09-02,8cc27a7b0c6903978e605ba541bed625,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,over,6.5,-136,FanDuel,pitcher_strikeouts_alternate,2026-09-03T02:11:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:28:55Z,the_odds_api_fanduel_fallback
2026-09-02,8cc27a7b0c6903978e605ba541bed625,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,under,6.5,106,FanDuel,pitcher_strikeouts,2026-09-03T02:11:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:28:55Z,the_odds_api_fanduel_fallback
2026-09-02,8cc27a7b0c6903978e605ba541bed625,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,over,7.5,142,FanDuel,pitcher_strikeouts_alternate,2026-09-03T02:11:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:28:55Z,the_odds_api_fanduel_fallback
2026-09-02,8cc27a7b0c6903978e605ba541bed625,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,over,8.5,280,FanDuel,pitcher_strikeouts_alternate,2026-09-03T02:11:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:28:55Z,the_odds_api_fanduel_fallback
2026-09-02,8cc27a7b0c6903978e605ba541bed625,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,over,9.5,560,FanDuel,pitcher_strikeouts_alternate,2026-09-03T02:11:00+00:00,2026-09-03T01:29:24.104122+00:00,2026-09-02T21:29:24.104122-04:00,2026-09-03T01:28:55Z,the_odds_api_fanduel_fallback
