date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,4.5,over,-179,underdog,222008,Los Angeles Dodgers,San Diego Padres,2026-09-23T01:57:44.517752+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,4.5,under,119,underdog,222008,Los Angeles Dodgers,San Diego Padres,2026-09-23T01:57:44.517752+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,4.5,over,120,dabble,222008,Los Angeles Dodgers,San Diego Padres,2026-09-22T05:10:26.157843+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,4.5,under,-120,dabble,222008,Los Angeles Dodgers,San Diego Padres,2026-09-22T05:10:26.157843+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,4.0,over,100,prizepicks,222008,Los Angeles Dodgers,San Diego Padres,2026-09-22T11:20:35.367026+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,4.0,under,100,prizepicks,222008,Los Angeles Dodgers,San Diego Padres,2026-09-22T11:20:35.367026+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,4.5,over,-103,smarkets,222008,Los Angeles Dodgers,San Diego Padres,2026-09-22T23:28:47.655358+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,4.5,under,-278,smarkets,222008,Los Angeles Dodgers,San Diego Padres,2026-09-23T02:00:05.019175+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,6.5,over,100,prizepicks,222008,Los Angeles Dodgers,San Diego Padres,2026-09-21T22:20:24.525654+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,3.5,over,100,prizepicks,222008,Los Angeles Dodgers,San Diego Padres,2026-09-21T22:20:24.525654+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,5.5,over,-140,fanatics,222008,Los Angeles Dodgers,San Diego Padres,2026-09-23T01:59:05.334693+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
2026-09-22,2026-09-23 02:10:00+00:00,Michael King,5.5,under,105,fanatics,222008,Los Angeles Dodgers,San Diego Padres,2026-09-23T01:59:05.334693+00:00,2026-09-23T18:31:05.513955+00:00,2026-09-23T14:31:05.513955-04:00,2026-09-23T14:31:05.513955-04:00,propline_free_sample
