date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Patrick Sandoval,over,4.5,-1200,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Patrick Sandoval,over,5.5,-340,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Patrick Sandoval,over,6.5,-150,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Patrick Sandoval,over,7.5,154,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Patrick Sandoval,over,8.5,330,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Patrick Sandoval,over,9.5,750,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Reid Detmers,over,4.5,-1450,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Reid Detmers,over,5.5,-360,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Reid Detmers,over,6.5,-174,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
2026-09-08,13b2a30b2be9fb761113ce7cb8d2ea9d,Los Angeles Angels,Boston Red Sox,Reid Detmers,over,7.5,134,FanDuel,pitcher_strikeouts_alternate,2026-09-08T22:46:00+00:00,2026-09-08T23:00:54.357442+00:00,2026-09-08T19:00:54.357442-04:00,2026-09-08T23:00:24Z,the_odds_api_fanduel_fallback
