away_score,away_team,close_away_odds,close_away_spread,close_home_odds,close_home_spread,close_over_odds,close_total,close_under_odds,date,game_type,home_score,home_team,market,open_away_odds,open_away_spread,open_home_odds,open_home_spread,open_over_odds,open_total,open_under_odds,sportsbook,start_datetime,status,venue
3,Toronto Blue Jays,168,,-200,,,,,2021-04-01,R,2,New York Yankees,moneyline,155,,-188,,,,,fanduel,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,170,,-190,,,,,2021-04-01,R,2,New York Yankees,moneyline,152,,-162,,,,,caesars,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,165,,-185,,,,,2021-04-01,R,2,New York Yankees,moneyline,155,,-175,,,,,bet365,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,165,,-195,,,,,2021-04-01,R,2,New York Yankees,moneyline,148,,-175,,,,,draftkings,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,-120,1.5,100,-1.5,,,,2021-04-01,R,2,New York Yankees,pointspread,-144,1.5,122,-1.5,,,,fanduel,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,-125,1.5,105,-1.5,,,,2021-04-01,R,2,New York Yankees,pointspread,-140,1.5,120,-1.5,,,,caesars,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,-125,1.5,105,-1.5,,,,2021-04-01,R,2,New York Yankees,pointspread,-135,1.5,115,-1.5,,,,bet365,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,-118,1.5,100,-1.5,,,,2021-04-01,R,2,New York Yankees,pointspread,-136,1.5,114,-1.5,,,,draftkings,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,,,,,-122,7.5,100,2021-04-01,R,2,New York Yankees,totals,,,,,-106,8,-114,fanduel,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,,,,,100,8,-120,2021-04-01,R,2,New York Yankees,totals,,,,,-110,8,-110,caesars,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,,,,,-110,8,-110,2021-04-01,R,2,New York Yankees,totals,,,,,-105,8,-115,bet365,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
3,Toronto Blue Jays,,,,,-105,8,-117,2021-04-01,R,2,New York Yankees,totals,,,,,-105,8,-117,draftkings,2021-04-01T17:05:00+00:00,Final (10),Yankee Stadium
2,Cleveland Guardians,620,,-1100,,,,,2021-04-01,Unknown,3,Detroit Tigers,moneyline,-192,,158,,,,,fanduel,2021-04-01T17:10:00+00:00,Final,Comerica Park
2,Cleveland Guardians,-175,,160,,,,,2021-04-01,Unknown,3,Detroit Tigers,moneyline,-190,,170,,,,,caesars,2021-04-01T17:10:00+00:00,Final,Comerica Park
