date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,6.5,over,141,underdog,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T17:14:05.865534+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,6.5,under,-213,underdog,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T17:14:05.865534+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,3.5,over,-143,dabble,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T18:07:06.963556+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,3.5,under,145,dabble,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T18:07:06.963556+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,3.5,over,100,prizepicks,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T02:51:27.907003+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,3.5,under,100,prizepicks,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T02:51:27.907003+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,3.5,over,-169,smarkets,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T16:19:46.235070+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,3.5,under,120,smarkets,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T17:42:30.166583+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,6.5,over,100,prizepicks,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T08:34:11.235542+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Mike McGreevy,6.5,over,-130,fanatics,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T16:25:10.952450+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Mike McGreevy,6.5,under,100,fanatics,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T16:25:10.952450+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
2026-09-13,2026-09-13 18:15:00+00:00,Michael McGreevy,4.5,over,128,draftkings,210390,St. Louis Cardinals,Chicago White Sox,2026-09-13T18:13:38.570212+00:00,2026-09-13T21:01:24.141101+00:00,2026-09-13T17:01:24.141101-04:00,2026-09-13T17:01:24.141101-04:00,propline_free_sample
