date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-13,2026-09-13 23:20:00+00:00,Logan Webb,6.5,over,192,underdog,210394,San Francisco Giants,San Diego Padres,2026-09-13T21:59:40.252695+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Nick Pivetta,6.5,over,121,underdog,210394,San Francisco Giants,San Diego Padres,2026-09-13T19:56:49.260138+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Logan Webb,6.5,under,-304,underdog,210394,San Francisco Giants,San Diego Padres,2026-09-13T21:59:40.252695+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Nick Pivetta,6.5,under,-179,underdog,210394,San Francisco Giants,San Diego Padres,2026-09-13T19:56:49.260138+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Logan Webb,4.5,over,-115,dabble,210394,San Francisco Giants,San Diego Padres,2026-09-13T23:17:41.995486+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Nick Pivetta,4.5,over,-120,dabble,210394,San Francisco Giants,San Diego Padres,2026-09-13T03:04:50.535340+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Logan Webb,4.5,under,116,dabble,210394,San Francisco Giants,San Diego Padres,2026-09-13T23:17:41.995486+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Nick Pivetta,4.5,under,120,dabble,210394,San Francisco Giants,San Diego Padres,2026-09-13T03:04:50.535340+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Logan Webb,4.5,over,-139,smarkets,210394,San Francisco Giants,San Diego Padres,2026-09-13T20:28:38.266425+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Logan Webb,4.5,under,-101,smarkets,210394,San Francisco Giants,San Diego Padres,2026-09-13T20:28:38.266425+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Nick Pivetta,4.5,over,-119,smarkets,210394,San Francisco Giants,San Diego Padres,2026-09-13T20:28:38.266425+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
2026-09-13,2026-09-13 23:20:00+00:00,Nick Pivetta,4.5,under,-116,smarkets,210394,San Francisco Giants,San Diego Padres,2026-09-13T20:28:38.266425+00:00,2026-09-14T19:32:00.122272+00:00,2026-09-14T15:32:00.122272-04:00,2026-09-14T15:32:00.122272-04:00,propline_free_sample
