date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-09-09,01ff759b99c1daf7fe8fbee28fd97362,Arizona Diamondbacks,Kansas City Royals,Daniel Lynch IV,over,2.5,-115,FanDuel,pitcher_strikeouts_alternate,2026-09-09T23:41:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:33Z,the_odds_api_fanduel_fallback
2026-09-09,01ff759b99c1daf7fe8fbee28fd97362,Arizona Diamondbacks,Kansas City Royals,Daniel Lynch IV,under,2.5,-111,FanDuel,pitcher_strikeouts,2026-09-09T23:41:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:33Z,the_odds_api_fanduel_fallback
2026-09-09,01ff759b99c1daf7fe8fbee28fd97362,Arizona Diamondbacks,Kansas City Royals,Daniel Lynch IV,over,3.5,220,FanDuel,pitcher_strikeouts_alternate,2026-09-09T23:41:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:33Z,the_odds_api_fanduel_fallback
2026-09-09,01ff759b99c1daf7fe8fbee28fd97362,Arizona Diamondbacks,Kansas City Royals,Daniel Lynch IV,over,4.5,540,FanDuel,pitcher_strikeouts_alternate,2026-09-09T23:41:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:33Z,the_odds_api_fanduel_fallback
2026-09-09,163a7ada5c294169bddfad332af498ef,Colorado Rockies,New York Yankees,Tomoyuki Sugano,over,2.5,-350,FanDuel,pitcher_strikeouts_alternate,2026-09-09T23:06:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:34Z,the_odds_api_fanduel_fallback
2026-09-09,163a7ada5c294169bddfad332af498ef,Colorado Rockies,New York Yankees,Tomoyuki Sugano,over,3.5,-122,FanDuel,pitcher_strikeouts_alternate,2026-09-09T23:06:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:34Z,the_odds_api_fanduel_fallback
2026-09-09,163a7ada5c294169bddfad332af498ef,Colorado Rockies,New York Yankees,Tomoyuki Sugano,under,3.5,-104,FanDuel,pitcher_strikeouts,2026-09-09T23:06:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:34Z,the_odds_api_fanduel_fallback
2026-09-09,163a7ada5c294169bddfad332af498ef,Colorado Rockies,New York Yankees,Tomoyuki Sugano,over,4.5,182,FanDuel,pitcher_strikeouts_alternate,2026-09-09T23:06:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:34Z,the_odds_api_fanduel_fallback
2026-09-09,163a7ada5c294169bddfad332af498ef,Colorado Rockies,New York Yankees,Tomoyuki Sugano,over,5.5,400,FanDuel,pitcher_strikeouts_alternate,2026-09-09T23:06:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:34Z,the_odds_api_fanduel_fallback
2026-09-09,163a7ada5c294169bddfad332af498ef,Colorado Rockies,New York Yankees,Will Warren,over,2.5,-2000,FanDuel,pitcher_strikeouts_alternate,2026-09-09T23:06:00+00:00,2026-09-09T22:47:57.366968+00:00,2026-09-09T18:47:57.366968-04:00,2026-09-09T22:47:34Z,the_odds_api_fanduel_fallback
