date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Jackson Kent,over,2.5,-440,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Jackson Kent,over,3.5,-148,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Jackson Kent,under,3.5,116,FanDuel,pitcher_strikeouts,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Jackson Kent,over,4.5,146,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Jackson Kent,over,5.5,330,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Jackson Kent,over,6.5,750,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Walker Buehler,over,2.5,-520,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Walker Buehler,over,3.5,-172,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Walker Buehler,under,3.5,134,FanDuel,pitcher_strikeouts,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Walker Buehler,over,4.5,126,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Walker Buehler,over,5.5,290,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,309bc53328fe78f477537b0dcbef3ddf,Washington Nationals,San Diego Padres,Walker Buehler,over,6.5,630,FanDuel,pitcher_strikeouts_alternate,2026-09-09T20:11:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:48Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Keider Montero,over,2.5,-235,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Keider Montero,over,3.5,124,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Keider Montero,under,3.5,-158,FanDuel,pitcher_strikeouts,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Keider Montero,over,4.5,280,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Keider Montero,over,5.5,680,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Zebby Matthews,over,2.5,-800,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Zebby Matthews,over,3.5,-265,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Zebby Matthews,over,4.5,100,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Zebby Matthews,under,4.5,-128,FanDuel,pitcher_strikeouts,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Zebby Matthews,over,5.5,215,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,3fdcf1fc18b369e071964b94abe0e5fe,Minnesota Twins,Detroit Tigers,Zebby Matthews,over,6.5,450,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:01:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:17Z,the_odds_api_fanduel_fallback
2026-09-09,4a391464b8e1ffee0ee5e205298840de,St. Louis Cardinals,San Francisco Giants,Andre Pallante,over,2.5,-330,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:46:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:29Z,the_odds_api_fanduel_fallback
2026-09-09,4a391464b8e1ffee0ee5e205298840de,St. Louis Cardinals,San Francisco Giants,Andre Pallante,over,3.5,-111,FanDuel,pitcher_strikeouts_alternate,2026-09-09T19:46:00+00:00,2026-09-09T18:01:49.443986+00:00,2026-09-09T14:01:49.443986-04:00,2026-09-09T18:01:29Z,the_odds_api_fanduel_fallback
