date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-09,2026-09-10 02:10:00+00:00,Rhett Lowder,3.5,over,-115,fanduel,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-09T22:06:57.170421+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Rhett Lowder,3.5,under,-111,fanduel,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-09T22:06:57.170421+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Yoshinobu Yamamoto,7.5,over,-106,fanduel,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-10T02:00:49.620309+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Yoshinobu Yamamoto,7.5,under,-120,fanduel,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-10T02:00:49.620309+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Rhett Lowder,3.5,over,100,prizepicks,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-08T23:11:18.265811+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Yoshi Yamamoto,7.5,over,100,prizepicks,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-08T23:11:18.265811+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Rhett Lowder,3.5,under,100,prizepicks,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-08T23:11:18.265811+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Yoshi Yamamoto,7.5,under,100,prizepicks,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-08T23:11:18.265811+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Yoshi Yamamoto,10.5,over,100,prizepicks,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-08T23:11:18.265811+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Rhett Lowder,4.5,over,100,prizepicks,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-08T23:11:18.265811+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Rhett Lowder,5.5,over,100,prizepicks,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-08T23:11:18.265811+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
2026-09-09,2026-09-10 02:10:00+00:00,Yoshi Yamamoto,8.5,over,100,prizepicks,205550,Los Angeles Dodgers,Cincinnati Reds,2026-09-08T23:11:18.265811+00:00,2026-09-10T06:22:41.060819+00:00,2026-09-10T02:22:41.060819-04:00,2026-09-10T02:22:41.060819-04:00,propline_free_sample
