date,pitcher_name,line,side,price,sportsbook,event_id,snapshot_time_et,source,archive_file,commence_time_utc,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,name_key,matched_mlb_date,game_id,pitcher_id,mlb_pitcher_name,actual_k,mlb_is_starter,date_offset_days,market_result
2026-08-25,Aaron Nola,6.5,over,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,WIN
2026-08-25,Aaron Nola,7.5,over,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,LOSS
2026-08-25,Aaron Nola,8.5,over,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,LOSS
2026-08-25,Aaron Nola,4.5,over,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,WIN
2026-08-25,Aaron Nola,5.5,over,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,WIN
2026-08-25,Aaron Nola,6.5,under,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,LOSS
2026-08-25,Aaron Nola,7.5,under,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,WIN
2026-08-25,Aaron Nola,8.5,under,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,WIN
2026-08-25,Aaron Nola,4.5,under,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,LOSS
2026-08-25,Aaron Nola,5.5,under,100,prizepicks,164069,2026-08-24 20:15:15.348572-04:00,propline_free_sample,2026-08-26/propline_pitcher_k_20260826T192236Z.csv,2026-08-26 01:40:00+00:00,Seattle Mariners,Philadelphia Phillies,,,,aaronnola,2026-08-25,823098.0,605400.0,Aaron Nola,7.0,1.0,0,LOSS
