date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,over,-110,dabble,198038,Los Angeles Dodgers,Washington Nationals,2026-09-07T02:04:14.772270+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,under,111,dabble,198038,Los Angeles Dodgers,Washington Nationals,2026-09-07T02:04:14.772270+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,over,-139,underdog,198038,Los Angeles Dodgers,Washington Nationals,2026-09-07T01:54:04.341925+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,under,102,underdog,198038,Los Angeles Dodgers,Washington Nationals,2026-09-07T01:54:04.341925+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,over,-132,smarkets,198038,Los Angeles Dodgers,Washington Nationals,2026-09-07T01:45:17.594029+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,under,-106,smarkets,198038,Los Angeles Dodgers,Washington Nationals,2026-09-07T01:45:17.594029+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,over,100,prizepicks,198038,Los Angeles Dodgers,Washington Nationals,2026-09-06T04:55:56.804095+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,under,100,prizepicks,198038,Los Angeles Dodgers,Washington Nationals,2026-09-06T04:55:56.804095+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,6.5,over,100,prizepicks,198038,Los Angeles Dodgers,Washington Nationals,2026-09-06T04:55:56.804095+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
2026-09-06,2026-09-07 02:10:00+00:00,Andrew Alvarez,3.5,over,100,prizepicks,198038,Los Angeles Dodgers,Washington Nationals,2026-09-06T05:02:58.616042+00:00,2026-09-07T18:48:39.353990+00:00,2026-09-07T14:48:39.353990-04:00,2026-09-07T14:48:39.353990-04:00,propline_free_sample
