date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Andrew Alvarez,over,2.5,-330,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Andrew Alvarez,over,3.5,-120,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Andrew Alvarez,under,3.5,-106,FanDuel,pitcher_strikeouts,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Andrew Alvarez,over,4.5,190,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Andrew Alvarez,over,5.5,430,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Justin Wrobleski,over,2.5,-700,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Justin Wrobleski,over,3.5,-235,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Justin Wrobleski,over,4.5,114,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Justin Wrobleski,under,4.5,-146,FanDuel,pitcher_strikeouts,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Justin Wrobleski,over,5.5,235,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
2026-09-06,35484b18fe129394ebc819752a8b92c1,Washington Nationals,Los Angeles Dodgers,Justin Wrobleski,over,6.5,520,FanDuel,pitcher_strikeouts_alternate,2026-09-07T02:11:00+00:00,2026-09-07T01:20:33.359952+00:00,2026-09-06T21:20:33.359952-04:00,2026-09-07T01:19:41Z,the_odds_api_fanduel_fallback
