date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,George Kirby,over,2.5,-1000,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,George Kirby,over,3.5,-310,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,George Kirby,over,4.5,-113,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,George Kirby,under,4.5,-113,FanDuel,pitcher_strikeouts,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,George Kirby,over,5.5,180,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,George Kirby,over,6.5,390,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,Payton Tolle,over,3.5,-3000,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,Payton Tolle,over,4.5,-670,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,Payton Tolle,over,5.5,-280,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
2026-08-31,0716778828c519a9f9b861e4cc6e584e,Seattle Mariners,Boston Red Sox,Payton Tolle,over,6.5,-113,FanDuel,pitcher_strikeouts_alternate,2026-08-31T22:46:00+00:00,2026-08-31T21:13:44.401764+00:00,2026-08-31T17:13:44.401764-04:00,2026-08-31T21:13:42Z,the_odds_api_fanduel_fallback
