date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-08-30,2026-08-30 23:20:00+00:00,Chase Burns,4.5,over,-334,underdog,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T23:17:38.390888+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Shota Imanaga,5.5,over,-157,underdog,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T22:32:58.617292+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Chase Burns,4.5,under,212,underdog,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T23:17:38.390888+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Shota Imanaga,5.5,under,116,underdog,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T22:32:58.617292+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Chase Burns,5.5,over,-120,dabble,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T02:33:08.534011+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Shota Imanaga,5.5,over,-120,dabble,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T20:35:56.935345+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Chase Burns,5.5,under,120,dabble,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T02:33:08.534011+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Shota Imanaga,5.5,under,120,dabble,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T20:35:56.935345+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Chase Burns,5.5,over,-137,smarkets,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T22:59:22.000110+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Chase Burns,5.5,under,-102,smarkets,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T22:59:22.000110+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
2026-08-30,2026-08-30 23:20:00+00:00,Shota Imanaga,5.5,over,-154,smarkets,177072,Chicago Cubs,Cincinnati Reds,2026-08-30T22:59:22.000110+00:00,2026-08-31T23:59:43.094130+00:00,2026-08-31T19:59:43.094130-04:00,2026-08-31T19:59:43.094130-04:00,propline_free_sample
