date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-09-03,2026-09-03 18:10:00+00:00,Hunter Brown,6.5,over,110,fanduel,190219,Houston Astros,Chicago White Sox,2026-09-03T18:04:00.071760+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Hunter Brown,6.5,under,-140,fanduel,190219,Houston Astros,Chicago White Sox,2026-09-03T18:04:00.071760+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Luis Castillo,4.5,over,108,fanduel,190219,Houston Astros,Chicago White Sox,2026-09-03T18:04:00.071760+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Luis Castillo,4.5,under,-138,fanduel,190219,Houston Astros,Chicago White Sox,2026-09-03T18:04:00.071760+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Hunter Brown,6.5,over,100,prizepicks,190219,Houston Astros,Chicago White Sox,2026-09-03T00:40:36.332485+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Hunter Brown,6.5,under,100,prizepicks,190219,Houston Astros,Chicago White Sox,2026-09-03T00:40:36.332485+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Luis Castillo,5.5,over,100,prizepicks,190219,Houston Astros,Chicago White Sox,2026-09-03T00:40:36.332485+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Luis Castillo,6.5,over,100,prizepicks,190219,Houston Astros,Chicago White Sox,2026-09-03T00:40:36.332485+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Hunter Brown,7.5,over,100,prizepicks,190219,Houston Astros,Chicago White Sox,2026-09-03T00:40:36.332485+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
2026-09-03,2026-09-03 18:10:00+00:00,Luis Castillo,7.5,over,100,prizepicks,190219,Houston Astros,Chicago White Sox,2026-09-03T00:40:36.332485+00:00,2026-09-03T21:13:19.288985+00:00,2026-09-03T17:13:19.288985-04:00,2026-09-03T17:13:19.288985-04:00,propline_free_sample
