date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Cal Quantrill,over,2.5,-260,FanDuel,pitcher_strikeouts_alternate,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Cal Quantrill,over,3.5,122,FanDuel,pitcher_strikeouts_alternate,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Cal Quantrill,under,3.5,-156,FanDuel,pitcher_strikeouts,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Cal Quantrill,over,4.5,280,FanDuel,pitcher_strikeouts_alternate,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Cal Quantrill,over,5.5,680,FanDuel,pitcher_strikeouts_alternate,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Shane McClanahan,over,2.5,-1200,FanDuel,pitcher_strikeouts_alternate,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Shane McClanahan,over,3.5,-370,FanDuel,pitcher_strikeouts_alternate,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Shane McClanahan,over,4.5,-138,FanDuel,pitcher_strikeouts_alternate,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Shane McClanahan,under,4.5,108,FanDuel,pitcher_strikeouts,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
2026-09-03,3ce16b1285f3f868ac4262314873f267,Tampa Bay Rays,Texas Rangers,Shane McClanahan,over,5.5,158,FanDuel,pitcher_strikeouts_alternate,2026-09-04T00:05:00+00:00,2026-09-03T22:50:52.665287+00:00,2026-09-03T18:50:52.665287-04:00,2026-09-03T22:50:28Z,the_odds_api_fanduel_fallback
